checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3401412069797516,0.36880791187286377,0.35942569375038147,0.3994256854057312,0.2415834367275238,-0.5290720462799072,0.7933570146560669,-0.5290720462799072,0.0,0.0,0.3300839960575104,1.3847579956054688,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_0.pt
model_50.pt,50,50,50,0.000732421875,0.13720703125,0.91748046875,0.012939453125,0.00146484375,0.16024476289749146,0.15713593363761902,0.12270727008581161,0.16263467073440552,0.12951479852199554,0.8829871416091919,0.016646478325128555,0.8829871416091919,1.8571994587546214e-05,0.5864149332046509,0.0434199683368206,1583.6175537109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_50.pt
model_100.pt,100,100,100,0.0,0.0087890625,0.922607421875,0.0,0.0,0.1945037692785263,0.19479230046272278,0.16299960017204285,0.20299959182739258,0.18277019262313843,0.8792080283164978,0.32154783606529236,0.8792080283164978,0.0,0.47201600670814514,0.1080317348241806,1501.5755615234375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_100.pt
model_150.pt,150,150,150,0.0,0.219970703125,0.919189453125,0.0,0.0,0.14749076962471008,0.14962618052959442,0.12242801487445831,0.16242802143096924,0.13852982223033905,0.9064387083053589,0.18527618050575256,0.9064387083053589,0.0,0.4313005208969116,0.07235875725746155,1983.40771484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_150.pt
model_200.pt,200,200,200,0.0,0.706298828125,0.92431640625,0.11279296875,0.0,0.10283373296260834,0.12212829291820526,0.10952338576316833,0.14952337741851807,0.09133529663085938,0.8886823654174805,-0.03807082027196884,0.8886823654174805,0.0,0.10943282395601273,0.09428589046001434,2284.51171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_200.pt
model_250.pt,250,250,250,0.000244140625,0.774169921875,0.904052734375,0.361083984375,0.000244140625,0.09060388803482056,0.10827517509460449,0.09586675465106964,0.13586674630641937,0.08074171096086502,0.8369580507278442,-0.12037324905395508,0.8369580507278442,0.0,0.1399163156747818,0.08632933348417282,2924.117919921875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_250.pt
model_300.pt,300,300,300,0.0,0.768310546875,0.90869140625,0.582275390625,0.0,0.08262597024440765,0.10675503313541412,0.0972912386059761,0.13729123771190643,0.0681750550866127,0.8238521218299866,-0.16973844170570374,0.8238521218299866,0.0,0.11978356540203094,0.08945921063423157,3193.941162109375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_300.pt
model_350.pt,350,350,350,0.00048828125,0.787353515625,0.923583984375,0.646728515625,0.00048828125,0.0776384174823761,0.10426345467567444,0.0964869037270546,0.13648691773414612,0.06278346478939056,0.8399617671966553,-0.1759033203125,0.8399617671966553,0.0,0.07765774428844452,0.08621583878993988,2950.201904296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_350.pt
model_400.pt,400,400,400,0.000244140625,0.775634765625,0.935546875,0.6044921875,0.000244140625,0.07012684643268585,0.09287568926811218,0.08341482281684875,0.12341481447219849,0.060988474637269974,0.8396445512771606,-0.18793705105781555,0.8396445512771606,0.0,0.1274396926164627,0.08687184751033783,3454.9921875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_400.pt
model_450.pt,450,450,450,0.000244140625,0.82470703125,0.90283203125,0.67041015625,0.000244140625,0.0684247836470604,0.09508004039525986,0.08820845186710358,0.1282084584236145,0.05755849927663803,0.8086751699447632,-0.17311833798885345,0.8086751699447632,0.0,0.06467442214488983,0.08655965328216553,3607.7255859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_450.pt
model_500.pt,500,500,500,0.000732421875,0.6845703125,0.8857421875,0.5556640625,0.000732421875,0.09084860235452652,0.11256979405879974,0.1012401431798935,0.14124013483524323,0.07892531901597977,0.8117241859436035,-0.07027089595794678,0.8117241859436035,0.0,0.14675940573215485,0.08638884127140045,3370.468994140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_500.pt
model_550.pt,550,550,550,0.001708984375,0.783935546875,0.896484375,0.69189453125,0.001708984375,0.07242410629987717,0.09786181151866913,0.09006259590387344,0.13006259500980377,0.05991414934396744,0.8034451603889465,-0.1639552116394043,0.8034451603889465,0.0,0.09177142381668091,0.08455204963684082,3339.349853515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_550.pt
model_600.pt,600,600,600,0.000244140625,0.789306640625,0.901123046875,0.636474609375,0.000244140625,0.07297683507204056,0.0976269543170929,0.08867072314023972,0.12867072224617004,0.06188095733523369,0.8077812194824219,-0.2168402075767517,0.8077812194824219,0.0,0.12461623549461365,0.0862535685300827,3224.4541015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_600.pt
model_650.pt,650,650,650,0.000244140625,0.710205078125,0.819091796875,0.58984375,0.000244140625,0.08738891780376434,0.11140777170658112,0.10120546817779541,0.14120545983314514,0.07329730689525604,0.763121485710144,-0.13923504948616028,0.763121485710144,0.0,0.14904972910881042,0.08289267867803574,3172.244140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_650.pt
model_700.pt,700,700,700,0.0009765625,0.71435546875,0.83251953125,0.542236328125,0.0009765625,0.08903821557760239,0.11074768006801605,0.10004501044750214,0.14004501700401306,0.07450738549232483,0.7553834915161133,-0.14964526891708374,0.7553834915161133,0.0,0.15468019247055054,0.07828293740749359,3215.61376953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_700.pt
model_750.pt,750,750,750,0.0,0.804443359375,0.906982421875,0.636474609375,0.0,0.07413086295127869,0.09992195665836334,0.09180375188589096,0.1318037509918213,0.058002814650535583,0.8330413103103638,-0.14762067794799805,0.8330413103103638,0.0,0.10295999050140381,0.08680955320596695,3272.574462890625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_750.pt
model_800.pt,800,800,800,0.0,0.840576171875,0.935546875,0.626220703125,0.0,0.06283482164144516,0.08686845004558563,0.07778694480657578,0.1177869439125061,0.04893305152654648,0.8537139892578125,-0.24865075945854187,0.8537139892578125,0.0,0.15226483345031738,0.08265015482902527,3226.38427734375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_800.pt
model_850.pt,850,850,850,0.000244140625,0.76611328125,0.902099609375,0.603271484375,0.000244140625,0.08207165449857712,0.10442078858613968,0.09368640929460526,0.13368640840053558,0.06568588316440582,0.8192800283432007,-0.15875130891799927,0.8192800283432007,0.0,0.15639233589172363,0.08045292645692825,3476.157958984375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_850.pt
model_900.pt,900,900,900,0.0,0.809814453125,0.929443359375,0.59423828125,0.0,0.0719081312417984,0.09528185427188873,0.08544889092445374,0.12544889748096466,0.054914411157369614,0.8453115224838257,-0.19109293818473816,0.8453115224838257,0.0,0.14438576996326447,0.07594142854213715,3354.107666015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_900.pt
model_950.pt,950,950,950,0.00048828125,0.8017578125,0.912353515625,0.61328125,0.00048828125,0.07421648502349854,0.09583642333745956,0.08537478744983673,0.12537479400634766,0.058866165578365326,0.8359394073486328,-0.14583495259284973,0.8359394073486328,0.0,0.1690334677696228,0.06601213663816452,3388.304931640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_950.pt
model_999.pt,999,999,999,0.000244140625,0.79541015625,0.89501953125,0.4619140625,0.000244140625,0.08292453736066818,0.10119179636240005,0.08940702676773071,0.12940701842308044,0.07009109854698181,0.838800847530365,-0.08196116238832474,0.838800847530365,0.0,0.18029411137104034,0.0707460418343544,3383.929443359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_18-42-19/model_999.pt
